epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5239,1.38634,3.20471,1.3569,0.00333,1,0.55541,0.30749,1.33566,3.63484,1.25276,0.00034,0.00034,0.00034
2,58.2121,1.38414,2.34409,1.25653,0.00313,0.9375,0.58359,0.30529,1.40093,3.77406,1.35496,0.0006769,0.0006769,0.0006769
3,87.0412,1.38675,2.1419,1.21436,0.45249,0.20833,0.28007,0.12918,1.43297,3.74751,1.46758,0.00099004,0.00099004,0.00099004
4,116.056,1.38018,2.0975,1.26941,0.61707,0.4375,0.60009,0.30384,1.63348,3.26559,1.71511,0.00127942,0.00127942,0.00127942
5,144.785,1.38063,1.92273,1.30029,0.49721,0.60417,0.47669,0.21902,1.74202,3.15463,1.82046,0.00154504,0.00154504,0.00154504
6,173.43,1.39221,1.96607,1.258,0.8044,0.66667,0.70668,0.31414,1.79447,2.76837,1.72467,0.00167,0.00167,0.00167
7,202.162,1.47523,2.04406,1.36218,0.48788,0.58333,0.44191,0.18928,1.80899,3.69128,1.77919,0.001604,0.001604,0.001604
8,2361.67,1.46063,1.88275,1.30951,0.37266,0.625,0.37497,0.1702,1.77324,4.02689,1.77241,0.001538,0.001538,0.001538
9,2391.88,1.34658,1.72566,1.2438,0.50364,0.625,0.48921,0.24582,1.72763,3.27609,1.70667,0.001472,0.001472,0.001472
10,2419.94,1.41597,1.61791,1.24075,0.65591,0.6875,0.61924,0.31838,1.63362,2.41414,1.69831,0.001406,0.001406,0.001406
11,2447.72,1.35555,1.55432,1.2976,0.81522,0.64345,0.75866,0.39434,1.58373,2.09398,1.6576,0.00134,0.00134,0.00134
12,2475.65,1.33204,1.43288,1.25679,0.91368,0.72917,0.82742,0.40537,1.63673,1.96835,1.60966,0.001274,0.001274,0.001274
13,2503.72,1.20152,1.30262,1.15593,0.7067,0.75302,0.76587,0.40696,1.52976,2.05137,1.54278,0.001208,0.001208,0.001208
14,2531.7,1.21991,1.24163,1.21591,0.88624,0.66667,0.77227,0.38246,1.53136,1.88129,1.59454,0.001142,0.001142,0.001142
15,2567.47,1.22312,1.2375,1.17386,0.72501,0.6875,0.6202,0.31595,1.5165,1.90587,1.51348,0.001076,0.001076,0.001076
16,5008.7,1.21161,1.20824,1.19435,0.75664,0.77739,0.80854,0.42459,1.49228,1.8669,1.49591,0.00101,0.00101,0.00101
17,5038.37,1.16843,1.17223,1.18302,0.66639,0.79069,0.73931,0.38938,1.49378,1.97492,1.52431,0.000944,0.000944,0.000944
18,5066.68,1.21155,1.15587,1.30804,0.77361,0.7832,0.77613,0.38361,1.53044,1.7865,1.60039,0.000878,0.000878,0.000878
19,5094.33,1.17561,1.16853,1.26031,0.83105,0.79167,0.83141,0.41296,1.56735,1.61643,1.63848,0.000812,0.000812,0.000812
20,5121.95,1.19117,1.11972,1.15519,0.79891,0.82778,0.85222,0.43873,1.55978,1.59015,1.55586,0.000746,0.000746,0.000746
21,5151.7,1.09527,1.19621,1.17644,0.91545,0.77083,0.87052,0.42232,1.59288,1.61079,1.56891,0.00068,0.00068,0.00068
22,5182.12,1.11639,1.11923,1.13605,0.92791,0.80459,0.88615,0.49423,1.441,1.55508,1.45666,0.000614,0.000614,0.000614
23,9749.81,1.13084,1.06051,1.13475,0.85405,0.85336,0.88486,0.48635,1.43867,1.54958,1.44034,0.000548,0.000548,0.000548
24,9787.12,1.03658,1.04395,1.12768,0.76884,0.85417,0.85848,0.44382,1.47663,1.57146,1.47502,0.000482,0.000482,0.000482
25,9825.03,1.0584,1.07309,1.12995,0.76555,0.91667,0.89679,0.46297,1.48709,1.48909,1.47757,0.000416,0.000416,0.000416
26,9861.93,1.11748,1.03495,1.17725,0.90893,0.83174,0.92305,0.47853,1.4664,1.40942,1.45999,0.00035,0.00035,0.00035
27,9896.24,1.07272,1.03885,1.14727,0.93209,0.875,0.9308,0.48802,1.43108,1.33963,1.4308,0.000284,0.000284,0.000284
28,9920.57,1.02952,0.96211,1.12106,0.91075,0.875,0.93723,0.50509,1.42631,1.30769,1.43021,0.000218,0.000218,0.000218
29,9945.21,1.01952,0.92635,1.0996,0.95035,0.85417,0.93427,0.51171,1.43426,1.29992,1.4491,0.000152,0.000152,0.000152
30,9969.3,0.98735,0.94401,1.10056,0.95359,0.85623,0.94075,0.49923,1.42825,1.30048,1.45422,8.6e-05,8.6e-05,8.6e-05
